iter	Logloss
0	0.6740282007
1	0.6575954569
2	0.6428307137
3	0.630051392244	0.618806046355	0.608742186	0.6000170408
7	0.5920552339
8	0.5851764939
9	09	0.5796210	0.10	0.57410011	0.5681401542
12	0.5636046407
13	0.5592222747
14	0.5552475043
15	0.552012302
16	0.5484355536
17	0.5454977049
18	0.542570038
19	0.5399759952
20	0.5376890331
21	0.5354463373
22	0.5333090724
23	0.5310187246
24	0.5293509439
25	0.5276227142
26	0.5261973491
27	0.5247233219
28	0.5235626997
29	0.5223412595
30	0.520616948
31	0.519655122
32	0.518468997
33	0.5171282657
34	0.5162274956
35	0.5151967778
36	0.5139916157
37	0.5130250831
38	0.5122508788
39	0.5113674336
40	0.5104627703
41	0.5095353887
42	0.5087710927
43	0.5079259512
44	0.5069880931
45	0.5063339314
46	0.5054368201
47	0.5048197228
48	0.5042562338
49	0.5035007094
50	0.5028757325
51	0.5023476946
52	0.5018028111
53	0.5013063621
54	0.5006973183
55	0.5002277804
56	0.4997595445
57	0.4992215391
58	0.4988013299
59	0.4982792851
60	0.4978493148
61	0.4972605314
62	0.4968718461
63	0.4963952591
64	0.4959380679
65	0.4956310454
66	0.4952709404
67	0.4948645271
68	0.4945685702
69	0.4942150319
70	0.4939076901
71	0.4936392291
72	0.4933376029
73	0.4929992282
74	0.4926886922
75	0.4924384403
76	0.4921669087
77	0.4919128473
78	0.4916513094
79	0.4913856674
80	0.4910585555
81	0.4907766668
82	0.4905355315
83	0.4903004131
84	0.4900995996
85	0.4898938439
86	0.489571091
87	0.4893315176
88	0.489071443
89	0.4888212786
90	0.4886016522
91	0.4883645182
92	0.4881310117
93	0.4879536095
94	0.4877243957
95	0.4875422241
96	0.4874049521
97	0.4872338547
98	0.4869331485
99	0.4867185098
100	0.4865847262
101	0.4864250501
102	0.4862254072
103	0.4860261634
104	0.4858396729
105	0.4856242671
106	0.4854382278
107	0.485265806
108	0.4850670729
109	0.4848687575
110	0.4847317758
111	0.484584358
112	0.4844438289
113	0.4843021381
114	0.484145434
115	0.4840027093
116	0.4838663205
117	0.4837726682
118	0.4836121886
119	0.4834245203
120	0.120	0.48239121	0121	0.482244122	0122	0.482107123	0123	0.482014124	0124	0.4818640668
125	0.4817505655
126	0.4816413557
127	0.4815141227
128	0.4813925604
129	0.4812881189
130	0.4811485256
131	0.4810498121
132	0.4809384881
133	0.480764431
134	0.4806511989
135	0.4805245504
136	0.4803736031
137	0.4802827443
138	0.4801783343
139	0.4801173114
140	0.4800026585
141	0.479875969
142	0.479762748
143	0.4796738164
144	0.4795883868
145	0.4794902688
146	0.4794015359
147	0.4793060267
148	0.4792245305
149	0.4791119004
150	0.4789888783
151	0.4788675993
152	0.4787413078
153	0.4786442571
154	0.4785680248
155	0.4784541097
156	0.4783420458
157	0.478245981
158	0.478140121
159	0.4780383901
160	0.4779539172
161	0.4778833568
162	0.4778009359
163	0.4776931093
164	0.4776154153
165	0.4775181532
166	0.4774236383
167	0.4773331954
168	0.4772166124
169	0.4771217483
170	0.477033598
171	0.4769189016
172	0.4768249205
173	0.4767151656
174	0.476616833
175	0.4765269371
176	0.4764216842
177	0.4763195505
178	0.4762108709
179	0.4761265523
180	0.4760201797
181	0.4759080912
182	0.4758280358
183	0.4757535962
184	0.4756430202
185	0.4755613433
186	0.4754685401
187	0.4753705263
188	0.4752888994
189	0.4752814771
190	0.4751830617
191	0.4750933939
192	0.4750120665
193	0.4749098762
194	0.4748130502
195	0.4747321625
196	0.4746521773
197	0.4745624203
198	0.4744450282
199	0.4743498313
200	0.4742624625
201	0.4742033157
202	0.4741200333
203	0.474053882
204	0.4739545877
205	0.4738584808
206	0.473768883
207	0.4736568539
208	0.4735833563
209	0.4734869635
210	0.4733901211
211	0.4732938681
212	0.4732173531
213	0.4731256567
214	0.4730572819
215	0.4729700306
216	0.4729187583
217	0.4728386266
218	0.4727579664
219	0.4726876537
220	0.4726032887
221	0.472491681
222	0.4723900715
223	0.4723083271
224	0.4722099654
225	0.4721399786
226	0.4720304967
227	0.471897547
228	0.4718167809
229	0.4717354905
230	0.4716428964
231	0.4715809112
232	0.471492593
233	0.4713966603
234	0.4713087237
235	0.4712285706
236	0.4711301011
237	0.4710492101
238	0.4709542586
239	0.4708704973
240	0.4707662492
241	0.4706926489
242	0.470600854
243	0.4705071215
244	0.4704039449
245	0.4703182431
246	0.4702481122
247	0.4701503032
248	0.470068598
249	0.4699708622
250	0.4698754896
251	0.4697671797
252	0.4696766274
253	0.4695945934
254	0.4695288424
255	0.4694358239
256	0.4693845778
257	0.4692797601
258	0.4691937545
259	0.4691163685
260	0.4690413646
261	0.4689207581
262	0.4688279046
263	0.4687429073
264	0.4686764863
265	0.4686011402
266	0.4685228493
267	0.4684493015
268	0.468344826
269	0.4682785057
270	0.4681903556
271	0.4680945132
272	0.467994208
273	0.4679117594
274	0.467793799
275	0.4676913223
276	0.4676127195
277	0.467552347
278	0.4675036948
279	0.4674045697
280	0.4672891587
281	0.467194321
282	0.4671051607
283	0.4669989389
284	0.4669048045
285	0.4668180301
286	0.466753847
287	0.4666489092
288	0.4665885238
289	0.4664967086
290	0.4663945116
291	0.4662987874
292	0.4662072807
293	0.4660995615
294	0.4660063802
295	0.4659540701
296	0.4658807892
297	0.4657898595
298	0.4657017911
299	0.4655792134
300	0.4654948753
301	0.4654350297
302	0.4653675387
303	0.4652823357
304	0.4652000889
305	0.4651088698
306	0.4650263995
307	0.4649440643
308	0.4648390233
309	0.4647292128
310	0.4646416326
311	0.4645832823
312	0.4645184525
313	0.4644419581
314	0.4643464037
315	0.4642753986
316	0.4641775061
317	0.4640907324
318	0.4640435351
319	0.4639541563
320	0.4638962155
321	0.4638112691
322	0.4637442566
323	0.4636789975
324	0.4635880431
325	0.4635203831
326	0.4634108242
327	0.4633295432
328	0.4632554281
329	0.4631561358
330	0.4630824649
331	0.4630098276
332	0.4629339672
333	0.4628280764
334	0.4627294091
335	0.4626366072
336	0.4625295506
337	0.4624853436
338	0.4623851536
339	0.4622840971
340	0.4621868872
341	0.4621070387
342	0.4620426722
343	0.4619776738
344	0.4619067398
345	0.4618086771
346	0.4617024025
347	0.4616211031
348	0.4615395538
349	0.4614500403
350	0.4613645137
351	0.4612870282
352	0.4611835086
353	0.4610896516
354	0.4609964686
355	0.4609129537
356	0.4608013463
357	0.4606977345
358	0.4605914093
359	0.460492806
360	0.4604228242
361	0.4603376645
362	0.4602609687
363	0.4601860278
364	0.4601114211
365	0.4600281198
366	0.4599582885
367	0.4598723949
368	0.459788508
369	0.4597067071
370	0.4596211545
371	0.4595368472
372	0.4594530196
373	0.4593800093
374	0.4593232915
375	0.459255008
376	0.4591928017
377	0.4591186265
378	0.459037463
379	0.4589645255
380	0.4588773493
381	0.4587995701
382	0.458738428
383	0.4586733193
384	0.4586272482
385	0.4585416337
386	0.4584786167
387	0.4583790629
388	0.4582922241
389	0.4581904769
390	0.4581129295
391	0.4580221043
392	0.4579441406
393	0.4578692556
394	0.4577932236
395	0.4577112254
396	0.4576274955
397	0.4575683817
398	0.4575009564
399	0.4574318671
400	0.4573769006
401	0.4573034621
402	0.4571859497
403	0.4571293506
404	0.4570625176
405	0.4569826913
406	0.4568863829
407	0.4568243268
408	0.4567576506
409	0.4566623721
410	0.4565912066
411	0.456583738
412	0.4564592572
413	0.4564014754
414	0.4563293472
415	0.4562553222
416	0.4561897307
417	0.4560900209
418	0.4560352667
419	0.4560268805
420	0.4559633655
421	0.4558839464
422	0.4558095015
423	0.4557106121
424	0.4556314628
425	0.4555314136
426	0.4554457819
427	0.4553523166
428	0.4552617262
429	0.45519107
430	0.4551260739
431	0.455043189
432	0.4549632523
433	0.4548952044
434	0.4548069751
435	0.4547175322
436	0.4546478027
437	0.4545594865
438	0.4544907417
439	0.4544236538
440	0.4543294623
441	0.4542482178
442	0.454238698
443	0.4541706992
444	0.4540859988
445	0.4540204816
446	0.453952588
447	0.4538714
448	0.4538113996
449	0.4537574583
450	0.4536837785
451	0.4535948056
452	0.4535265906
453	0.4534063469
