iter	Passed	Remaining
0	237	237584
1	413	206506
2	526	174999
3	599	149393
4	667	132819
5	743	123234
6	787	111749
7	849	105356
8	895	98581
99	952	94317110	995	8946011	1023	84275
12	1070	81310
13	1105	77846
14	1151	75601
15	1186	72995
16	1311	75829
17	1341	73176
18	1377	71102
19	1407	68973
20	1443	67284
21	1476	65638
22	1508	64065
23	1538	62558
24	1568	61172
25	1598	59880
26	1630	58771
27	1661	57687
28	1692	56663
29	1722	55681
30	1753	54796
31	1781	53885
32	1806	52928
33	1832	52078
34	1858	51246
35	1882	50396
36	1908	49682
37	1933	48949
38	1956	48214
39	1979	47497
40	2002	46836
41	2027	46243
42	2052	45682
43	2077	45148
44	2101	44603
45	2124	44067
46	2148	43557
47	2168	43005
48	2189	42499
49	2213	42056
50	2242	41720
51	2265	41296
52	2288	40889
53	2310	40481
54	2331	40057
55	2356	39732
56	2383	39435
57	2408	39113
58	2429	38753
59	2451	38409
60	2470	38036
61	2491	37699
62	2510	37336
63	2530	37010
64	2554	36747
65	2575	36454
66	2598	36185
67	2619	35908
68	2642	35655
69	2661	35366
70	2681	35084
71	2702	34835
72	2729	34660
73	2754	34462
74	2775	34230
75	2796	34001
76	2817	33768
77	2838	33558
78	2861	33356
79	2884	33176
80	2905	32967
81	2929	32800
82	2951	32605
83	2973	32421
84	2994	32236
85	3015	32052
86	3038	31881
87	3059	31707
88	3079	31524
89	3099	31344
90	3121	31184
91	3141	31009
92	3163	30853
93	3184	30691
94	3205	30537
95	3226	30381
96	3248	30238
97	3268	30087
98	3289	29941
99	3310	29793
100	3333	29671
101	3354	29531
102	3376	29403
103	3397	29273
104	3421	29160
105	3445	29055
106	3469	28956
107	3491	28840
108	3515	28735
109	3536	28616
110	3558	28500
111	3579	28381
112	3600	28264
113	3621	28143
114	36115	3717	115	36116	3743	116	36117	3768	117	37118	3792	118	37119	3816	119	37120	3841	27904
121	3866	27826
122	3891	27744
123	3916	27667
124	3942	27596
125	3970	27541
126	3992	27441
127	4017	27367
